"genes"	"HGNC.symbol"
"9060"	"Lipk"	"LIPK"
"9061"	"Chrnd"	"CHRND"
"9062"	"Ndufab1"	"NDUFAB1"
"9063"	"Ptprh"	"PTPRH"
"9064"	"Itm2a"	"ITM2A"
"9065"	"Slamf1"	"SLAMF1"
"9066"	"Spr"	"SPR"
"9067"	"Ksr2"	"KSR2"
"9068"	"Slc2a1"	"SLC2A1"
"9069"	"Akt1"	"AKT1"
"9070"	"Rbm45"	"RBM45"
"9071"	"Strbp"	"STRBP"
"9072"	"Entpd3"	"ENTPD3"
"9073"	"Fnip1"	"FNIP1"
"9074"	"Polr3e"	"POLR3E"
"9075"	"Rrm2"	"RRM2"
"9076"	"Snw1"	"SNW1"
"9077"	"Hey1"	"HEY1"
"9078"	"Kyat3"	"KYAT3"
"9079"	"Lyve1"	"LYVE1"
"9080"	"Lman1"	"LMAN1"
"9081"	"Numa1"	"NUMA1"
"9082"	"Pradc1"	"PRADC1"
"9083"	"Arhgap23"	"ARHGAP23"
"9084"	"Anks4b"	"ANKS4B"
"9085"	"Csf2rb"	"CSF2RB"
"9086"	"Cox16"	"COX16"
"9087"	"Tmem150c"	"TMEM150C"
"9088"	"Selenow"	"SELENOW"
"9089"	"Mfhas1"	"MFHAS1"
"9090"	"Tns2"	"TNS2"
"9091"	"Ykt6"	"YKT6"
"9092"	"Vnn1"	"VNN1"
"9093"	"Usp44"	"USP44"
"9094"	"Dtnbp1"	"DTNBP1"
"9095"	"Atad2b"	"ATAD2B"
"9096"	"Dnm3"	"DNM3"
"9097"	"Vcp"	"VCP"
"9098"	"Rpl35"	"RPL35"
"9099"	"Adgrb2"	"ADGRB2"
"9100"	"Fam129a"	"NIBAN1"
"9101"	"Acsm4"	"ACSM4"
"9102"	"Armc1"	"ARMC1"
"9103"	"Aldh3b2"	"ALDH3B2"
"9104"	"Dut"	"DUT"
"9105"	"1700016K19Rik"	"C17orf97"
"9106"	"Mab21l2"	"MAB21L2"
"9107"	"Higd2a"	"HIGD2A"
"9108"	"Dpep2"	"DPEP2"
"9109"	"Gzmk"	"GZMK"
"9110"	"Kcnn3"	"KCNN3"
"9111"	"Dnmt3l"	"DNMT3L"
"9112"	"Olfr1434"	"OR5AN1"
"9113"	"Hsf2bp"	"HSF2BP"
"9114"	"Fam163a"	"FAM163A"
"9115"	"Pou3f1"	"POU3F1"
"9116"	"Slc29a3"	"SLC29A3"
"9117"	"Edc3"	"EDC3"
"9118"	"Rergl"	"RERGL"
"9119"	"Ilvbl"	"ILVBL"
"9120"	"Hltf"	"HLTF"
"9121"	"Vps33a"	"VPS33A"
"9122"	"Ms4a6d"	"MS4A6A"
"9123"	"Vcl"	"VCL"
"9124"	"Dusp23"	"DUSP23"
"9125"	"Pawr"	"PAWR"
"9126"	"Ttc30a2"	"TTC30B"
"9127"	"Ttc30a2"	"TTC30A"
"9128"	"Ddit4l"	"DDIT4L"
"9129"	"Pald1"	"PALD1"
"9130"	"Pctp"	"PCTP"
"9131"	"Mrpl23"	"MRPL23"
"9132"	"Klc3"	"KLC3"
"9133"	"Xkr4"	"XKR4"
"9134"	"4930451I11Rik"	"C16orf92"
"9135"	"Dvl1"	"DVL1"
"9136"	"Cfi"	"CFI"
"9137"	"Ano10"	"ANO10"
"9138"	"3830417A13Rik"	"MAGEA10"
"9139"	"Smco2"	"SMCO2"
"9140"	"Ttf1"	"TTF1"
"9141"	"1110008P14Rik"	"C9orf16"
"9142"	"Ncaph2"	"NCAPH2"
"9143"	"Polh"	"POLH"
"9144"	"Foxh1"	"FOXH1"
"9145"	"Robo2"	"ROBO2"
"9146"	"Med28"	"MED28"
"9147"	"Tagln3"	"TAGLN3"
"9148"	"Zfp738"	"ZNF695"
"9149"	"Zfp738"	"ZNF682"
"9150"	"B3gnt4"	"B3GNT4"
"9151"	"Tril"	"TRIL"
"9152"	"Fpr-rs3"	"FPR2"
"9153"	"Ksr1"	"KSR1"
"9154"	"Aipl1"	"AIPL1"
"9155"	"Oit1"	"FAM3D"
"9156"	"F13b"	"F13B"
"9157"	"B3gat3"	"B3GAT3"
"9158"	"Gins4"	"GINS4"
"9159"	"Gstm3"	"GSTM1"
"9160"	"Fam83b"	"FAM83B"
"9161"	"Cort"	"CORT"
"9162"	"Olfr1029"	"OR5M11"
"9163"	"Itga7"	"ITGA7"
"9164"	"Kif21a"	"KIF21A"
"9165"	"Lancl2"	"LANCL2"
"9166"	"Ppm1n"	"PPM1N"
"9167"	"Stoml2"	"STOML2"
"9168"	"Dffa"	"DFFA"
"9169"	"Cplx4"	"CPLX4"
"9170"	"Insr"	"INSR"
"9171"	"Cxcl10"	"CXCL10"
"9172"	"Adhfe1"	"ADHFE1"
"9173"	"Myh11"	"MYH11"
"9174"	"Ints7"	"INTS7"
"9175"	"Prm3"	"PRM3"
"9176"	"Magea1"	"MAGEA10"
"9177"	"Cln6"	"CLN6"
"9178"	"Drp2"	"DRP2"
"9179"	"Mageb18"	"MAGEB18"
"9180"	"Zfp275"	"ZNF460"
"9181"	"Smagp"	"SMAGP"
"9182"	"Sec16b"	"SEC16B"
"9183"	"Gml2"	"GML"
"9184"	"Tmem132a"	"TMEM132A"
"9185"	"Taar5"	"TAAR5"
"9186"	"Rpap3"	"RPAP3"
"9187"	"Cacng8"	"CACNG8"
"9188"	"Hoxd3"	"HOXD3"
"9189"	"Krt75"	"KRT75"
"9190"	"Rnf123"	"RNF123"
"9191"	"Vstm2a"	"VSTM2A"
"9192"	"Myo16"	"MYO16"
"9193"	"Hmox2"	"HMOX2"
"9194"	"Fbxl2"	"FBXL2"
"9195"	"Cacybp"	"CACYBP"
"9196"	"4930563E22Rik"	"C17orf100"
"9197"	"Robo1"	"ROBO1"
"9198"	"Capn7"	"CAPN7"
"9199"	"Atad3a"	"ATAD3A"
"9200"	"Tmem127"	"TMEM127"
"9201"	"Rimbp2"	"RIMBP2"
"9202"	"Gm15319"	"POTEA"
"9203"	"Wnk1"	"WNK1"
"9204"	"Tex50"	"TEX50"
"9205"	"Tmem200c"	"TMEM200C"
"9206"	"Pou2f1"	"POU2F1"
"9207"	"Tmub2"	"TMUB2"
"9208"	"Sema3c"	"SEMA3C"
"9209"	"Topbp1"	"TOPBP1"
"9210"	"Tnni3"	"TNNI3"
"9211"	"5730455P16Rik"	"C17orf75"
"9212"	"Clec1b"	"CLEC1B"
"9213"	"Mageb16"	"MAGEB16"
"9214"	"Lpar2"	"LPAR2"
"9215"	"Ccnf"	"CCNF"
"9216"	"Abcf3"	"ABCF3"
"9217"	"Gstp2"	"GSTP1"
"9218"	"Icosl"	"ICOSLG"
"9219"	"Npas2"	"NPAS2"
"9220"	"Gabbr1"	"GABBR1"
"9221"	"Kif3a"	"KIF3A"
"9222"	"Slc16a7"	"SLC16A7"
"9223"	"Aifm1"	"AIFM1"
"9224"	"Ephx2"	"EPHX2"
"9225"	"Ppp1r16a"	"PPP1R16A"
"9226"	"Pde11a"	"PDE11A"
"9227"	"Mtmr3"	"MTMR3"
"9228"	"Tmem100"	"TMEM100"
"9229"	"Tcp11l2"	"TCP11L2"
"9230"	"4930453N24Rik"	"C3orf38"
"9231"	"Ficd"	"FICD"
"9232"	"Cstf2"	"CSTF2"
"9233"	"Npffr1"	"NPFFR1"
"9234"	"Stk38l"	"STK38L"
"9235"	"Pold2"	"POLD2"
"9236"	"Ctps2"	"CTPS2"
"9237"	"Plekha5"	"PLEKHA5"
"9238"	"Trmt2a"	"TRMT2A"
"9239"	"Polm"	"POLM"
"9240"	"Il21"	"IL21"
"9241"	"Dus2"	"DUS2"
"9242"	"Ap4s1"	"AP4S1"
"9243"	"Riox2"	"RIOX2"
"9244"	"Gbp5"	"GBP5"
"9245"	"Ccr6"	"CCR6"
"9246"	"Pcdh7"	"PCDH7"
"9247"	"Fam172a"	"FAM172A"
"9248"	"Mcoln1"	"MCOLN1"
"9249"	"Arid5b"	"ARID5B"
"9250"	"B3gat2"	"B3GAT2"
"9251"	"Sf3b3"	"SF3B3"
"9252"	"Zfp386"	"ZNF775"
"9253"	"Tmem269"	"TMEM269"
"9254"	"Nsmf"	"NSMF"
"9255"	"Krt7"	"KRT7"
"9256"	"Ttc3"	"TTC3"
"9257"	"Tdrd3"	"TDRD3"
"9258"	"Aars2"	"AARS2"
"9259"	"Sbf1"	"SBF1"
"9260"	"Plcd1"	"PLCD1"
"9261"	"Gkap1"	"GKAP1"
"9262"	"Cubn"	"CUBN"
"9263"	"Cys1"	"CYS1"
"9264"	"Rad54l2"	"RAD54L2"
"9265"	"Ccdc30"	"CCDC30"
"9266"	"Hmmr"	"HMMR"
"9267"	"Lins1"	"LINS1"
"9268"	"Krba1"	"KRBA1"
"9269"	"Spata45"	"SPATA45"
"9270"	"Gfra3"	"GFRA3"
"9271"	"Safb2"	"SAFB2"
"9272"	"Ttc33"	"TTC33"
"9273"	"Ppbp"	"PPBP"
"9274"	"Il2ra"	"IL2RA"
"9275"	"Rs1"	"RS1"
"9276"	"Samd14"	"SAMD14"
"9277"	"Dhx15"	"DHX15"
"9278"	"Armc2"	"ARMC2"
"9279"	"Tspyl4"	"TSPYL4"
"9280"	"St3gal6"	"ST3GAL6"
"9281"	"Slc6a1"	"SLC6A1"
"9282"	"Akr7a5"	"AKR7L"
"9283"	"Calr"	"CALR"
"9284"	"Tbc1d4"	"TBC1D4"
"9285"	"Parl"	"PARL"
"9286"	"Adcy5"	"ADCY5"
"9287"	"Nsl1"	"NSL1"
"9288"	"Pkhd1l1"	"PKHD1L1"
"9289"	"Gucy2e"	"GUCY2D"
"9290"	"Ggct"	"GGCT"
"9291"	"0610010K14Rik"	"C17orf49"
"9292"	"0610010K14Rik"	"RNASEK-C17orf49"
"9293"	"Adam32"	"ADAM32"
"9294"	"Acsbg2"	"ACSBG2"
"9295"	"Tspan8"	"TSPAN8"
"9296"	"Gm5114"	"C2orf78"
"9297"	"Fam189a1"	"FAM189A1"
"9298"	"Map4"	"MAP4"
"9299"	"Las1l"	"LAS1L"
"9300"	"Marcks"	"MARCKS"
"9301"	"Cdk5rap3"	"CDK5RAP3"
"9302"	"Zfp791"	"ZNF791"
"9303"	"Khsrp"	"KHSRP"
"9304"	"Yme1l1"	"YME1L1"
"9305"	"Kcng2"	"KCNG2"
"9306"	"Il11"	"IL11"
"9307"	"Clasrp"	"CLASRP"
"9308"	"Prkar1a"	"PRKAR1A"
"9309"	"Cbx4"	"CBX4"
"9310"	"Tmem38a"	"TMEM38A"
"9311"	"Mc5r"	"MC5R"
"9312"	"Olfr802"	"OR6C1"
"9313"	"Phka1"	"PHKA1"
"9314"	"Zfp628"	"ZNF628"
"9315"	"Tmtc1"	"TMTC1"
"9316"	"Cd300e"	"CD300E"
"9317"	"Cd2bp2"	"CD2BP2"
"9318"	"Ephx1"	"EPHX1"
"9319"	"Tmem263"	"TMEM263"
"9320"	"Tktl1"	"TKTL1"
"9321"	"Zfp981"	"ZNF34"
"9322"	"Kcnh2"	"KCNH2"
"9323"	"Fcrl5"	"FCRL5"
"9324"	"Vps53"	"VPS53"
"9325"	"Epp13"	"EDDM13"
"9326"	"Fam114a1"	"FAM114A1"
"9327"	"Mypn"	"MYPN"
"9328"	"Fabp5"	"FABP5"
"9329"	"Cxcl12"	"CXCL12"
"9330"	"4931414P19Rik"	"C14orf93"
"9331"	"Cyp3a16"	"CYP3A5"
"9332"	"Cyp3a16"	"CYP3A7"
"9333"	"Cyp3a16"	"CYP3A7-CYP3A51P"
"9334"	"Cyp3a16"	"CYP3A4"
"9335"	"Cyp3a16"	"CYP3A43"
"9336"	"Tmem107"	"TMEM107"
"9337"	"Fabp4"	"FABP4"
"9338"	"Tktl2"	"TKTL2"
"9339"	"Maml3"	"MAML3"
"9340"	"Ubac1"	"UBAC1"
"9341"	"Cxcl11"	"CXCL11"
"9342"	"Hes7"	"HES7"
"9343"	"Erich2"	"ERICH2"
"9344"	"Nt5dc1"	"NT5DC1"
"9345"	"Tnfsf10"	"TNFSF10"
"9346"	"Kcnab3"	"KCNAB3"
"9347"	"Ipo13"	"IPO13"
"9348"	"Phf13"	"PHF13"
"9349"	"Kcnk6"	"KCNK6"
"9350"	"Tex13c1"	"TEX13D"
"9351"	"Tex13c1"	"TEX13C"
"9352"	"Aco2"	"ACO2"
"9353"	"Pkig"	"PKIG"
"9354"	"Ppp1r36"	"PPP1R36"
"9355"	"Enoph1"	"ENOPH1"
"9356"	"2210016F16Rik"	"C9orf64"
"9357"	"Yeats2"	"YEATS2"
"9358"	"Rab3gap2"	"RAB3GAP2"
"9359"	"Gzf1"	"GZF1"
"9360"	"Adh7"	"ADH7"
"9361"	"Ceacam1"	"CEACAM1"
"9362"	"Ceacam1"	"CEACAM8"
"9363"	"Ceacam1"	"PSG3"
"9364"	"Ceacam1"	"PSG8"
"9365"	"Ceacam1"	"PSG1"
"9366"	"Ceacam1"	"PSG5"
"9367"	"Ceacam1"	"PSG11"
"9368"	"Ceacam1"	"PSG6"
"9369"	"Ceacam1"	"PSG4"
"9370"	"Meikin"	"MEIKIN"
"9371"	"Cenpu"	"CENPU"
"9372"	"Rasl10a"	"RASL10A"
"9373"	"Mfn1"	"MFN1"
"9374"	"Olfr796"	"OR10P1"
"9375"	"Clu"	"CLU"
"9376"	"Asic1"	"ASIC1"
"9377"	"Suco"	"SUCO"
"9378"	"Kcnq5"	"KCNQ5"
"9379"	"Lrrn1"	"LRRN1"
"9380"	"Boc"	"BOC"
"9381"	"Olfr1014"	"OR9G1"
"9382"	"Ercc5"	"BIVM-ERCC5"
"9383"	"Ercc5"	"BIVM"
"9384"	"Ercc5"	"ERCC5"
"9385"	"Depdc1b"	"DEPDC1B"
"9386"	"Zfp458"	"ZNF845"
"9387"	"Abracl"	"ABRACL"
"9388"	"Rtp2"	"RTP2"
"9389"	"Scml2"	"SCML2"
"9390"	"Ppp6r3"	"PPP6R3"
"9391"	"Mbd1"	"MBD1"
"9392"	"Gpt"	"GPT"
"9393"	"Dlgap5"	"DLGAP5"
"9394"	"Csmd1"	"CSMD1"
"9395"	"Nrp2"	"NRP2"
"9396"	"Prss12"	"PRSS12"
"9397"	"Rassf6"	"RASSF6"
"9398"	"Plekhb2"	"PLEKHB2"
"9399"	"Borcs6"	"BORCS6"
"9400"	"Lhpp"	"LHPP"
"9401"	"Rec8"	"REC8"
"9402"	"Sprtn"	"SPRTN"
"9403"	"Olfr1425"	"OR4D10"
"9404"	"Scg2"	"SCG2"
"9405"	"Gpr141"	"GPR141"
"9406"	"Ece2"	"ECE2"
"9407"	"Emc9"	"EMC9"
"9408"	"Cntn2"	"CNTN2"
"9409"	"Derl1"	"DERL1"
"9410"	"Liph"	"LIPH"
"9411"	"Aloxe3"	"ALOXE3"
"9412"	"Mdh1"	"MDH1"
"9413"	"Zfp768"	"ZNF768"
"9414"	"Ulk4"	"ULK4"
"9415"	"Slc35c1"	"SLC35C1"
"9416"	"Acadl"	"ACADL"
"9417"	"Mrgprx1"	"MRGPRX3"
"9418"	"Mrgprx1"	"MRGPRX4"
"9419"	"Ccr9"	"CCR9"
"9420"	"Zbtb26"	"ZBTB26"
"9421"	"Wipf2"	"WIPF2"
"9422"	"Kdr"	"KDR"
"9423"	"Rrnad1"	"RRNAD1"
"9424"	"Mturn"	"MTURN"
"9425"	"Gm16367"	"PRAMEF12"
"9426"	"Gm16367"	"PRAMEF1"
"9427"	"Gm16367"	"PRAMEF11"
"9428"	"Gm16367"	"PRAMEF2"
"9429"	"Gm16367"	"PRAMEF10"
"9430"	"Gm16367"	"PRAMEF6"
"9431"	"Gm16367"	"PRAMEF7"
"9432"	"Gm16367"	"PRAMEF4"
"9433"	"Gm16367"	"PRAMEF27"
"9434"	"Gm16367"	"PRAMEF25"
"9435"	"Gm16367"	"PRAMEF26"
"9436"	"Gm16367"	"PRAMEF9"
"9437"	"Gm16367"	"PRAMEF13"
"9438"	"Gm16367"	"PRAMEF18"
"9439"	"Gm16367"	"PRAMEF5"
"9440"	"Gm16367"	"PRAMEF15"
"9441"	"Gm16367"	"PRAMEF8"
"9442"	"Gm16367"	"PRAMEF33"
"9443"	"Gm16367"	"PRAMEF14"
"9444"	"Gm16367"	"PRAMEF19"
"9445"	"Gm16367"	"PRAMEF17"
"9446"	"Gm16367"	"PRAMEF20"
"9447"	"Eme2"	"EME2"
"9448"	"Chic1"	"CHIC1"
"9449"	"Maff"	"MAFF"
"9450"	"Taf13"	"TAF13"
"9451"	"Dgkg"	"DGKG"
"9452"	"Olfr146"	"OR8G1"
"9453"	"Olfr146"	"OR8G5"
"9454"	"Mill1"	"MICA"
"9455"	"Mill1"	"MICB"
"9456"	"Hnrnpc"	"HNRNPCL1"
"9457"	"Hnrnpc"	"HNRNPCL3"
"9458"	"Hnrnpc"	"HNRNPCL2"
"9459"	"Hnrnpc"	"HNRNPCL4"
"9460"	"Chrd"	"CHRD"
"9461"	"Amz2"	"AMZ2"
"9462"	"Utp23"	"UTP23"
"9463"	"Farsa"	"FARSA"
"9464"	"Tmem11"	"TMEM11"
"9465"	"Pten"	"PTEN"
"9466"	"Grid1"	"GRID1"
"9467"	"Shf"	"SHF"
"9468"	"Pdilt"	"PDILT"
"9469"	"Zscan29"	"ZSCAN29"
"9470"	"Slc25a35"	"SLC25A35"
"9471"	"Tef"	"TEF"
"9472"	"Clk2"	"CLK2"
"9473"	"Klhl40"	"KLHL40"
"9474"	"Pomk"	"POMK"
"9475"	"Hnrnpd"	"HNRNPD"
"9476"	"Fmnl1"	"FMNL1"
"9477"	"Hibch"	"HIBCH"
"9478"	"Kcne2"	"KCNE2"
"9479"	"Echs1"	"ECHS1"
"9480"	"D630023F18Rik"	"C2orf80"
"9481"	"Arhgap44"	"ARHGAP44"
"9482"	"Sin3a"	"SIN3A"
"9483"	"Pax3"	"PAX3"
"9484"	"Xkr7"	"XKR7"
"9485"	"Rusc1"	"RUSC1"
"9486"	"Tmem106c"	"TMEM106C"
"9487"	"Olfr370"	"OR10K1"
"9488"	"Pcyt1b"	"PCYT1B"
"9489"	"Otx1"	"OTX1"
"9490"	"Ntf5"	"NTF4"
"9491"	"Dkc1"	"DKC1"
"9492"	"Csf2rb2"	"CSF2RB"
"9493"	"Pdpk1"	"PDPK1"
"9494"	"Klhl42"	"KLHL42"
"9495"	"B3galt2"	"B3GALT2"
"9496"	"Armcx6"	"ARMCX6"
"9497"	"Slc11a2"	"SLC11A2"
"9498"	"Cntnap3"	"CNTNAP3"
"9499"	"Asb16"	"ASB16"
"9500"	"Rd3"	"RD3"
"9501"	"Sin3b"	"SIN3B"
"9502"	"Noc4l"	"NOC4L"
"9503"	"Traf2"	"TRAF2"
"9504"	"Taf1a"	"TAF1A"
"9505"	"Hoxd1"	"HOXD1"
"9506"	"Brd4"	"BRD4"
"9507"	"Mpst"	"MPST"
"9508"	"Slc25a46"	"SLC25A46"
"9509"	"Fastkd2"	"FASTKD2"
"9510"	"Mastl"	"MASTL"
"9511"	"Dkkl1"	"DKKL1"
"9512"	"Cstb"	"CSTB"
"9513"	"Gripap1"	"GRIPAP1"
"9514"	"Hmgn1"	"HMGN1"
"9515"	"Hlx"	"HLX"
"9516"	"Shroom1"	"SHROOM1"
"9517"	"Cldn34d"	"CLDN34"
"9518"	"Zfp398"	"ZNF398"
"9519"	"Ptprm"	"PTPRM"
"9520"	"Fmnl2"	"FMNL2"
"9521"	"Hspbap1"	"HSPBAP1"
"9522"	"Gon4l"	"YY1AP1"
"9523"	"Kcnj14"	"KCNJ14"
"9524"	"Gabra3"	"GABRA3"
"9525"	"Ankrd7"	"POTEA"
"9526"	"Mrgpra2b"	"MRGPRX3"
"9527"	"Mrgpra2b"	"MRGPRX4"
"9528"	"Scgb1a1"	"SCGB1A1"
"9529"	"Ufsp2"	"UFSP2"
"9530"	"Pfas"	"PFAS"
"9531"	"M1ap"	"M1AP"
"9532"	"Bckdhb"	"BCKDHB"
"9533"	"Cfap97"	"CFAP97"
"9534"	"Plekha2"	"PLEKHA2"
"9535"	"Cd163"	"CD163"
"9536"	"Lpar4"	"LPAR4"
"9537"	"Tmprss4"	"TMPRSS4"
"9538"	"Ndrg2"	"NDRG2"
"9539"	"Ezh1"	"EZH1"
"9540"	"Chrng"	"CHRNG"
"9541"	"Dhps"	"DHPS"
"9542"	"Ttll9"	"TTLL9"
"9543"	"Slc3a1"	"SLC3A1"
"9544"	"Zfp488"	"ZNF488"
"9545"	"Adarb1"	"ADARB1"
"9546"	"Lemd3"	"LEMD3"
"9547"	"Hnrnph2"	"HNRNPH2"
"9548"	"1700057G04Rik"	"PLSCR1"
"9549"	"Agbl5"	"AGBL5"
"9550"	"Pklr"	"PKLR"
"9551"	"Tysnd1"	"TYSND1"
"9552"	"Cd33"	"CD33"
"9553"	"Il15ra"	"IL15RA"
"9554"	"Pigc"	"PIGC"
"9555"	"Naxd"	"NAXD"
"9556"	"Sympk"	"SYMPK"
"9557"	"Cptp"	"CPTP"
"9558"	"Ybey"	"YBEY"
"9559"	"Cp"	"CP"
"9560"	"Sfi1"	"SFI1"
"9561"	"Tlr7"	"TLR7"
"9562"	"Parp14"	"PARP14"
"9563"	"Nbeal1"	"NBEAL1"
"9564"	"Gch1"	"GCH1"
"9565"	"Map1lc3b"	"MAP1LC3B"
"9566"	"Gm21293"	"ALYREF"
"9567"	"Sox10"	"SOX10"
"9568"	"Gngt2"	"GNGT2"
"9569"	"Cpa3"	"CPA3"
"9570"	"Itpr2"	"ITPR2"
"9571"	"St3gal3"	"ST3GAL3"
"9572"	"Lgals3"	"LGALS3"
"9573"	"Aadacl3"	"AADACL3"
"9574"	"Nol8"	"NOL8"
"9575"	"Card10"	"CARD10"
"9576"	"Ap3m1"	"AP3M1"
"9577"	"Diablo"	"DIABLO"
"9578"	"Tmem176a"	"TMEM176A"
"9579"	"Zfp551"	"ZNF551"
"9580"	"Acod1"	"ACOD1"
"9581"	"Trim58"	"TRIM58"
"9582"	"Ccdc83"	"CCDC83"
"9583"	"Fbn1"	"FBN1"
"9584"	"Jph3"	"JPH3"
"9585"	"Nlrp1b"	"NLRP1"
"9586"	"Tmem234"	"TMEM234"
"9587"	"Rnf2"	"RNF2"
"9588"	"Gadd45g"	"GADD45G"
"9589"	"Stard3nl"	"STARD3NL"
"9590"	"Lrrc26"	"LRRC26"
"9591"	"Nr5a1"	"NR5A1"
"9592"	"Ets1"	"ETS1"
"9593"	"Myef2"	"MYEF2"
"9594"	"Tmem140"	"TMEM140"
"9595"	"Jarid2"	"JARID2"
"9596"	"Ddr2"	"DDR2"
"9597"	"1700125H20Rik"	"C17orf64"
"9598"	"Thap3"	"THAP3"
"9599"	"Zfp579"	"ZNF579"
"9600"	"Ripk3"	"RIPK3"
"9601"	"Lrpprc"	"LRPPRC"
"9602"	"Kir3dl2"	"KIR2DL3"
"9603"	"Kir3dl2"	"KIR2DS4"
"9604"	"Kir3dl2"	"KIR3DL1"
"9605"	"Kir3dl2"	"KIR2DL1"
"9606"	"Kir3dl2"	"KIR2DL4"
"9607"	"Kir3dl2"	"KIR3DL3"
"9608"	"Kir3dl2"	"KIR3DL2"
"9609"	"Slc4a8"	"SLC4A8"
"9610"	"Akain1"	"AKAIN1"
"9611"	"Cnih3"	"CNIH3"
"9612"	"Ltf"	"LTF"
"9613"	"Glb1l3"	"GLB1L3"
"9614"	"Mettl8"	"METTL8"
"9615"	"Tmprss2"	"TMPRSS2"
"9616"	"4932438A13Rik"	"KIAA1109"
"9617"	"Nol10"	"NOL10"
"9618"	"Gmppb"	"GMPPB"
"9619"	"Nlrp12"	"NLRP12"
"9620"	"Lsm10"	"LSM10"
"9621"	"Serbp1"	"SERBP1"
"9622"	"Cyp7b1"	"CYP7B1"
"9623"	"Tfr2"	"TFR2"
"9624"	"Olfr147"	"OR8B2"
"9625"	"Olfr147"	"OR8B3"
"9626"	"Pde7a"	"PDE7A"
"9627"	"Rhd"	"RHD"
"9628"	"Col4a1"	"COL4A1"
"9629"	"D430041D05Rik"	"KIAA1549L"
"9630"	"Srp9"	"SRP9"
"9631"	"Sumo3"	"SUMO3"
"9632"	"Adm"	"ADM"
"9633"	"Syce1"	"SYCE1"
"9634"	"Khk"	"KHK"
"9635"	"Gm10436"	"PRAMEF12"
"9636"	"Gm10436"	"PRAMEF1"
"9637"	"Gm10436"	"PRAMEF11"
"9638"	"Gm10436"	"PRAMEF2"
"9639"	"Gm10436"	"PRAMEF10"
"9640"	"Gm10436"	"PRAMEF6"
"9641"	"Gm10436"	"PRAMEF7"
"9642"	"Gm10436"	"PRAMEF4"
"9643"	"Gm10436"	"PRAMEF27"
"9644"	"Gm10436"	"PRAMEF25"
"9645"	"Gm10436"	"PRAMEF26"
"9646"	"Gm10436"	"PRAMEF9"
"9647"	"Gm10436"	"PRAMEF13"
"9648"	"Gm10436"	"PRAMEF18"
"9649"	"Gm10436"	"PRAMEF5"
"9650"	"Gm10436"	"PRAMEF15"
"9651"	"Gm10436"	"PRAMEF8"
"9652"	"Gm10436"	"PRAMEF33"
"9653"	"Gm10436"	"PRAMEF14"
"9654"	"Gm10436"	"PRAMEF19"
"9655"	"Gm10436"	"PRAMEF17"
"9656"	"Gm10436"	"PRAMEF20"
"9657"	"Igf1r"	"IGF1R"
"9658"	"Kpna6"	"KPNA6"
"9659"	"Anln"	"ANLN"
"9660"	"Abcb8"	"ABCB8"
"9661"	"Zrsr1"	"ZRSR2"
"9662"	"Slc38a7"	"SLC38A7"
"9663"	"Ccrl2"	"CCRL2"
"9664"	"Zbtb9"	"ZBTB9"
"9665"	"Cntn4"	"CNTN4"
"9666"	"Dnmt3b"	"DNMT3B"
"9667"	"Dzip3"	"DZIP3"
"9668"	"Dnaaf3"	"DNAAF3"
"9669"	"Gm7102"	"MPLKIP"
"9670"	"Olfr299"	"OR14C36"
"9671"	"Cers5"	"CERS5"
"9672"	"Csgalnact2"	"CSGALNACT2"
"9673"	"Neto1"	"NETO1"
"9674"	"Cel"	"CEL"
"9675"	"Irs1"	"IRS1"
"9676"	"Cd200r1"	"CD200R1L"
"9677"	"Birc5"	"BIRC5"
"9678"	"Rfc2"	"RFC2"
"9679"	"Scamp4"	"SCAMP4"
"9680"	"Stox1"	"STOX1"
"9681"	"Myo3b"	"MYO3B"
"9682"	"Pofut2"	"POFUT2"
"9683"	"Fus"	"FUS"
"9684"	"Rab26"	"RAB26"
"9685"	"Gpbp1"	"GPBP1"
"9686"	"Ass1"	"ASS1"
"9687"	"Fbln5"	"FBLN5"
"9688"	"Vmn1r33"	"VN1R5"
"9689"	"Dap3"	"DAP3"
"9690"	"Rnd3"	"RND3"
"9691"	"Crybg3"	"CRYBG3"
"9692"	"Aebp1"	"AEBP1"
"9693"	"Gemin5"	"GEMIN5"
"9694"	"Hmces"	"HMCES"
"9695"	"Cd93"	"CD93"
"9696"	"Dis3l2"	"DIS3L2"
"9697"	"Ube2e2"	"UBE2E2"
"9698"	"Mcm3ap"	"MCM3AP"
"9699"	"Serf1"	"SERF1B"
"9700"	"Serf1"	"SERF1A"
"9701"	"Htra4"	"HTRA4"
"9702"	"Aldh7a1"	"ALDH7A1"
"9703"	"Ogn"	"OGN"
"9704"	"Sbpl"	"ZG16B"
"9705"	"Eml5"	"EML5"
"9706"	"Inpp5k"	"INPP5K"
"9707"	"Mettl6"	"METTL6"
"9708"	"Hook1"	"HOOK1"
"9709"	"Rfc4"	"RFC4"
"9710"	"Patl1"	"PATL1"
"9711"	"Atf3"	"ATF3"
"9712"	"Dvl3"	"DVL3"
"9713"	"Dhx9"	"DHX9"
"9714"	"Cnbd2"	"CNBD2"
"9715"	"Mtbp"	"MTBP"
"9716"	"Dna2"	"DNA2"
"9717"	"Dcdc2b"	"DCDC2B"
"9718"	"Zdhhc4"	"ZDHHC4"
"9719"	"Chid1"	"CHID1"
